Source,Target,Weight,Type
1,2,536,Undirected
1,3,505,Undirected
1,4,36,Undirected
1,5,1222,Undirected
1,6,250,Undirected
1,7,884,Undirected
1,8,94,Undirected
1,9,292,Undirected
1,10,58,Undirected
1,11,1853,Undirected
1,12,96,Undirected
1,13,309,Undirected
1,14,127,Undirected
1,15,6104,Undirected
1,16,122,Undirected
1,17,127,Undirected
1,18,46,Undirected
1,19,548,Undirected
1,20,46,Undirected
1,21,96,Undirected
1,22,222,Undirected
1,23,272,Undirected
1,24,21,Undirected
1,25,198,Undirected
1,26,54,Undirected
1,27,3800,Undirected
1,28,450,Undirected
1,29,459,Undirected
1,30,205,Undirected
1,31,34,Undirected
1,32,18,Undirected
1,33,961,Undirected
1,34,333,Undirected
1,35,145,Undirected
1,36,2014,Undirected
1,37,22,Undirected
1,38,98,Undirected
1,39,413,Undirected
1,40,66,Undirected
1,41,212,Undirected
1,42,45,Undirected
1,43,168,Undirected
1,44,41,Undirected
1,45,106,Undirected
1,46,34,Undirected
1,47,131,Undirected
1,48,27,Undirected
1,49,2532,Undirected
1,50,403,Undirected
1,51,6,Undirected
1,52,304,Undirected
1,53,150,Undirected
1,54,645,Undirected
1,55,209,Undirected
1,56,95,Undirected
1,57,288,Undirected
1,58,114,Undirected
1,59,1279,Undirected
1,60,15,Undirected
1,61,141,Undirected
1,62,121,Undirected
1,63,102,Undirected
1,64,275,Undirected
1,65,228,Undirected
1,66,218,Undirected
1,67,20,Undirected
1,68,80,Undirected
1,69,43,Undirected
1,70,1065,Undirected
1,71,29,Undirected
1,72,45,Undirected
1,73,7,Undirected
1,74,91,Undirected
1,75,19,Undirected
1,76,334,Undirected
1,77,37,Undirected
1,78,1303,Undirected
1,79,132,Undirected
1,80,52,Undirected
1,81,962,Undirected
1,82,99,Undirected
1,83,76,Undirected
1,84,8,Undirected
1,85,969,Undirected
1,86,148,Undirected
1,87,53,Undirected
1,88,71,Undirected
1,89,16,Undirected
1,90,273,Undirected
1,91,53,Undirected
1,92,1935,Undirected
1,93,124,Undirected
1,94,125,Undirected
1,95,59,Undirected
1,96,107,Undirected
1,97,17,Undirected
1,98,8,Undirected
1,99,1,Undirected
1,100,412,Undirected
2,3,924,Undirected
2,4,933,Undirected
2,5,291,Undirected
2,6,714,Undirected
2,7,99,Undirected
2,8,296,Undirected
2,9,386,Undirected
2,10,70,Undirected
2,11,1317,Undirected
2,12,285,Undirected
2,13,44,Undirected
2,14,3529,Undirected
2,15,69,Undirected
2,16,76,Undirected
2,17,165,Undirected
2,18,29,Undirected
2,19,97,Undirected
2,20,1876,Undirected
2,21,2881,Undirected
2,22,142,Undirected
2,23,66,Undirected
2,24,167,Undirected
2,25,2765,Undirected
2,26,2868,Undirected
2,27,65,Undirected
2,28,88,Undirected
2,29,67,Undirected
2,30,182,Undirected
2,31,1886,Undirected
2,32,15,Undirected
2,33,61,Undirected
2,34,15,Undirected
2,35,11,Undirected
2,36,20,Undirected
2,37,2713,Undirected
2,38,20,Undirected
2,39,151,Undirected
2,40,53,Undirected
2,41,71,Undirected
2,42,4,Undirected
2,43,40,Undirected
2,44,548,Undirected
2,45,46,Undirected
2,46,16,Undirected
2,47,39,Undirected
2,48,106,Undirected
